"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"CBD","Companhia Brasileira de Distribuicao","49.14","12926178720","n/a","1997","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/cbd",
"COP","ConocoPhillips","58.2","71061785266.8","n/a","1985","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cop",
"SJT","San Juan Basin Royalty Trust","16.85","785358212.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sjt",
"BAF","BlackRock Income Investment Quality Trust","16.25","142138652.5","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/baf",
"LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","25.79","683435000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ldp",
"LMT","Lockheed Martin Corporation","88.12","28514524948.44","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmt",
"MGI","Moneygram International, Inc.","16.8","971996340","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mgi",
"PRY","Prospect Capital Corporation","26.17","7851000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pry",
"CWH","CommonWealth REIT","18.03","1510987346.04","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cwh",
"WRI","Weingarten Realty Investors","30.32","3684031600","n/a","1985","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wri",
"SLF","Sun Life Financial Inc.","28.63","17172788824.66","n/a","1996","Finance","Life Insurance","http://www.nasdaq.com/symbol/slf",
"XIN","Xinyuan Real Estate Co Ltd","4.47","326005315.86","n/a","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
"PNC/WS","PNC Financial Services Group, Inc. (The)","10.61","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnc/ws",
"MYC","Blackrock MuniYield California Fund, Inc.","17.21","366491338.55","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/myc",
"TEI","Templeton Emerging Markets Income Fund, Inc.","17.58","838870432.86","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/tei",
"AMBO","Ambow Education Holding Ltd.","1.64","118474472.48","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ambo",
