"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"BICK","First Trust Exchange-Traded Fund II First Trust BICK Index Fun","25.01","35014050.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bick",
"CU","First Trust Exchange-Traded Fund II First Trust ISE Global Cop","28.15","43632556.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cu",
"PLTM","First Trust Exchange-Traded Fund II First Trust ISE Global Pla","15.16","12128030.32","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pltm",
"CARZ","First Trust Exchange-Traded Fund II First Trust NASDAQ Global ","30.36","12144060.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/carz",
"TDIV","First Trust Exchange-Traded Fund VI First Trust NASDAQ Technol","20.69","64242450","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tdiv",
"MDIV","First Trust Exchange-Traded Fund VI Multi-Asset Diversified In","21.059","124248142.118","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mdiv",
"SKYY","First Trust ISE Cloud Computing Index Fund","21.08","91698042.16","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/skyy",
"QABA","First Trust NASDAQ ABA Community Bank Index Fund","27.43","10972054.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qaba",
"FONE","First Trust NASDAQ CEA Smartphone Index Fund","25.97","11686551.94","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/fone",
"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ","32.44","12976064.88","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grid",
"QCLN","First Trust NASDAQ Clean Edge U.S. Liquid Series Index Fund","10.93","16941521.86","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qcln",
"QQEW","First Trust NASDAQ-100 Equal Weighted Index Fund","27.83","108537055.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqew",
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","26.4301","50217242.8602","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqxt",
"QTEC","First Trust NASDAQ-100-Technology Sector Index Fund","27.4901","112709464.9802","n/a","1984","n/a","n/a","http://www.nasdaq.com/symbol/qtec",
"FUNC","First United Corporation","8","49594264","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/func",
"FBMI","Firstbank Corporation","12.78","101638688.22","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbmi",
"FCFC","FirstCity Financial Corporation","9.87","104189664.39","n/a","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/fcfc",
"SVVC","Firsthand Technology Value Fund, Inc.","18.24","156070195.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/svvc",
"FMER","FirstMerit Corporation","15.1","1655748914.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmer",
"FSRV","FirstService Corporation","31.37","902339541.7","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/fsrv",
